location,Longitude float,Latitude float,geometry
415 CLINTON ST,-79.41759,43.66547,POINT (-79.41758728027344 43.66547012329102)
443 ADELAIDE ST W,-79.39878,43.645893,POINT (-79.39878082275391 43.64589309692383)
45 LEILA JACKSON TER,-79.52168,43.72973,POINT (-79.52168273925781 43.72972869873047)
120 DALLIMORE CRCL,-79.333374,43.731068,POINT (-79.3333740234375 43.7310676574707)
59 QUEENSDALE AVE,-79.3312,43.686657,POINT (-79.33119964599609 43.6866569519043)
428 CLINTON ST,-79.4182,43.665623,POINT (-79.41819763183594 43.66562271118164)
8 FRED YOUNG DR,-79.520836,43.727604,POINT (-79.52083587646484 43.72760391235352)
13 FRED YOUNG DR,-79.52127,43.72733,POINT (-79.52127075195313 43.72732925415039)
8 MCKEE AVE,-79.41304,43.77339,POINT (-79.41304016113281 43.77339172363281)
113 BANNOCKBURN AVE,-79.429016,43.731903,POINT (-79.42901611328125 43.73190307617188)
450 ADELAIDE ST W,-79.398865,43.64632,POINT (-79.39886474609375 43.64632034301758)
147 HUMEWOOD DR,-79.42749,43.687378,POINT (-79.427490234375 43.6873779296875)
42 GLENSTROKE DR,-79.25224,43.790604,POINT (-79.25224304199219 43.79060363769531)
310 NISKA RD,-79.50946,43.765163,POINT (-79.50946044921875 43.76516342163086)
80 ESTHER LORRIE DR,-79.57713,43.732033,POINT (-79.57713317871094 43.73203277587891)
57 JUDY SGRO AVE,-79.52315,43.727444,POINT (-79.52314758300781 43.72744369506836)
275 YORKLAND RD,-79.33703,43.77474,POINT (-79.33702850341797 43.77473831176758)
1135 ROYAL YORK RD,-79.51641,43.660072,POINT (-79.51641082763672 43.66007232666016)
399 ADELAIDE ST W,-79.39703,43.646164,POINT (-79.39703369140625 43.64616394042969)
1 HUMEWOOD GDNS,-79.42753,43.683006,POINT (-79.42752838134766 43.68300628662109)
2050 KEELE ST,-79.476395,43.697975,POINT (-79.47639465332031 43.69797515869141)
4064 LAWRENCE AVE E,-79.198326,43.767197,POINT (-79.19832611083984 43.76719665527344)
52 TINETA CRES,-79.25457,43.787384,POINT (-79.25457000732422 43.78738403320313)
161 FRANKLIN AVE,-79.45347,43.664062,POINT (-79.45346832275391 43.6640625)
3 HUMEWOOD GDNS,-79.427666,43.682976,POINT (-79.42766571044922 43.68297576904297)
